placement,local_bsz,step_time,sync_time,frozen_layer
1,8,0.25934362411499023,0.002896680430362099,0
1,8,0.2360566164317884,0.0026172362252285613,8
1,8,0.22005152702331543,0.0024217060992592263,16
1,8,0.20510950841401754,0.0022366854642566878,24
1,8,0.1867481407366301,0.0014798416840402701,32
1,8,0.17276545574790553,0.001401155377689161,40
1,8,0.1583430390608938,0.0013292597783239263,48
1,8,0.14355123670477615,0.001268250954778571,56
1,8,0.1291896293037816,0.001176629894658139,64
1,8,0.1147005558013916,0.0011030635645515041,72
1,16,0.31469075303328664,0.002814005876842298,0
1,16,0.2962906235142758,0.001726517890629016,8
1,16,0.27876251622250203,0.0016430349475459046,16
1,16,0.2618468058736701,0.001567366744342603,24
1,16,0.24361905298734965,0.0014850694631275377,32
1,16,0.22636291855259946,0.0014127427402295565,40
1,16,0.21062470737256503,0.0013532968383086355,48
1,16,0.19106592630085192,0.0012680892818852474,56
1,16,0.17363352524606804,0.0011879477877365914,64
1,16,0.1561606055811832,0.0011056505253440455,72
1,24,0.37503424443696676,0.0028358871560347715,0
1,24,0.3584646927682977,0.0017323924114829613,8
1,24,0.3364930654826917,0.0016510652617404335,16
1,24,0.3167189673373574,0.0015695764328304087,24
1,24,0.29532143944188166,0.001494932212327656,32
1,24,0.27550323385941355,0.001412203782483151,40
1,24,0.2549203947970742,0.0013369128390362391,48
1,24,0.23519651513350637,0.0012723469357741506,56
1,24,0.21518727352744654,0.001191612626376905,64
1,24,0.1967501765803287,0.0011126568505638527,72
1,32,0.4364282833902459,0.002837234522167005,0
1,32,0.41864120332818283,0.0017351949465902227,8
1,32,0.3957756444027549,0.0016552690393046331,16
1,32,0.37365668698361043,0.0016756951557962516,24
1,32,0.34896666125247355,0.0014914829542762354,32
1,32,0.32567029250295537,0.0014181321922101474,40
1,32,0.30332383356596293,0.0013393920032601606,48
1,32,0.2808474992450915,0.0012693288200779965,56
1,32,0.25816434308102254,0.0011998046322872764,64
1,32,0.23494406750327662,0.0011133035735080119,72
1,48,0.574548884441978,0.0028316294645008284,0
1,48,0.5529682510777524,0.0017376202156669219,8
1,48,0.5251069570842543,0.001655969669944362,16
1,48,0.4966974383906314,0.0015780917970757732,24
1,48,0.46915588880840103,0.0014963873687543366,32
1,48,0.43916852850663035,0.0014225515629115858,40
1,48,0.41112184524536133,0.0013413860986107272,48
1,48,0.3856134289189389,0.0012789221060903449,56
1,48,0.3553606710935894,0.001199157890520598,64
1,48,0.32699209765384074,0.0011302265179784674,72
1,64,0.7377185821533203,0.0028408454970309605,0
1,64,0.714324813140066,0.0017435469376413445,8
1,64,0.678388984579789,0.0016720286419517115,16
1,64,0.6467339867039731,0.0015931823128148127,24
1,64,0.6103928967526084,0.0015082442070308481,32
1,64,0.5745339895549574,0.0014289650603344563,40
1,64,0.5397071210961593,0.0013608959975995518,48
1,64,0.5065436237736752,0.0013138997931229442,56
1,64,0.4711361056879947,0.0012141406222393638,64
1,64,0.43655526010613693,0.0011383107398685655,72
11,8,0.24754996048776726,0.025623983282791942,0
11,8,0.23661961053547106,0.030661200874730156,8
11,8,0.22742709360624613,0.03273178251166094,16
11,8,0.22193628863284462,0.038215517947548315,24
11,8,0.21347383448952123,0.04342778617457339,32
11,8,0.20558294497038188,0.04830412834569026,40
11,8,0.19940780338488126,0.054478093197471204,48
11,8,0.1948908253719932,0.06225505005685905,56
11,8,0.18949629131116366,0.0709052095915142,64
11,8,0.18183913983796773,0.07599416592246606,72
11,16,0.304366902301186,0.023186593808625873,0
11,16,0.2935565898292943,0.025517972042686066,8
11,16,0.2831684288225676,0.030206544976485398,16
11,16,0.27390752340617935,0.03604140452334755,24
11,16,0.2636961058566445,0.04085021631341231,32
11,16,0.2562131505263479,0.04859440512406198,40
11,16,0.24488841859917893,0.05161019234908255,48
11,16,0.2358823199021189,0.05764446298699629,56
11,16,0.22675254470423648,0.06222783319573653,64
11,16,0.2155788070277164,0.06756917973568566,72
11,24,0.3600085910997893,0.024045622173108558,0
11,24,0.3563221881264134,0.023875152889050934,8
11,24,0.3354739138954564,0.029676166935970905,16
11,24,0.3251584956520482,0.03511010380795128,24
11,24,0.3143067861858167,0.04222415542602539,32
11,24,0.2998505015122263,0.0458021724098607,40
11,24,0.29000567135057953,0.05300127009341592,48
11,24,0.27849578857421875,0.0583643355118601,56
11,24,0.26634425865976435,0.06360813160946495,64
11,24,0.25268513277957316,0.06699298938951993,72
11,32,0.4169714701803107,0.024306526284468794,0
11,32,0.4034854487368935,0.023899944305419925,8
11,32,0.38903634171736867,0.029302298897191093,16
