placement,local_bsz,step_time,sync_time,frozen_layer
1,4,0.22225167274475097,0.0010302873396873477,0
1,4,0.11403336524963378,0.0016482918357849118,9
1,4,0.10962381362915039,0.0019187097620964053,18
1,4,0.1094404935836792,0.0025134694337844853,27
1,4,0.09996858596801758,0.0021323980927467345,36
1,4,0.09656252384185791,0.0021707161521911616,45
1,4,0.09001367568969726,0.001872998402118683,54
1,4,0.08406481742858887,0.0017424793648719789,63
1,4,0.07952551364898681,0.0015482470393180852,72
1,4,0.07349199295043946,0.0011843910372257233,81
1,8,0.17636785984039308,0.0010330931162834166,0
1,8,0.15452581882476807,0.0012982886338233951,9
1,8,0.14257928848266602,0.0017099366378784178,18
1,8,0.1385749340057373,0.001628569598197937,27
1,8,0.13290090084075928,0.001481973762512207,36
1,8,0.12826916217803955,0.001329950711727142,45
1,8,0.12094191551208495,0.0012832563257217406,54
1,8,0.11943925857543945,0.0013472767949104306,63
1,8,0.11642823219299317,0.00134977536201477,72
1,8,0.10828253746032715,0.0010504486393928527,81
1,16,0.32313876152038573,0.0010339942383766176,0
1,16,0.2539793014526367,0.001364316167831421,9
1,16,0.23067118167877199,0.0018903449702262873,18
1,16,0.22214243412017823,0.0017608499217033392,27
1,16,0.21132486343383788,0.001624698882102966,36
1,16,0.20375895023345947,0.0015594495987892145,45
1,16,0.19134192943572997,0.001418506238460541,54
1,16,0.18612158298492432,0.0017384038424491882,63
1,16,0.1768721294403076,0.0012661964869499207,72
1,16,0.172445068359375,0.0011543078410625456,81
1,24,0.5833076333999634,0.0010303897452354433,0
1,24,0.3720261287689209,0.0015623168087005618,9
1,24,0.33972195148468015,0.002194821116924286,18
1,24,0.32290717124938967,0.0019227238297462462,27
1,24,0.3109156370162964,0.001770291197299957,36
1,24,0.29612096786499026,0.0016808960032463074,45
1,24,0.2757331991195679,0.0013454131269454955,54
1,24,0.26941183567047117,0.001692569599151611,63
1,24,0.26269357204437255,0.0015280332851409916,72
1,24,0.25060147762298585,0.001236345603466034,81
1,32,0.5818075323104859,0.0010332569575309755,0
1,32,0.46566630363464356,0.0018260172724723816,9
1,32,0.4243170690536499,0.002144829437732696,18
1,32,0.41191269397735597,0.002191503348350525,27
1,32,0.39449769973754883,0.0019338035178184513,36
1,32,0.37805173873901365,0.0017660723090171815,45
1,32,0.3577597665786743,0.001467924480438233,54
1,32,0.35484349250793457,0.0019348275136947626,63
1,32,0.339874906539917,0.0017350451159477238,72
1,32,0.3242608833312988,0.0013810015964508054,81
1,48,0.8860136413574219,0.0010309631896018982,0
1,48,0.6967110776901245,0.0016526336073875427,9
1,48,0.641595630645752,0.0022854655957221985,18
